dataset,model,fraction,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,train_time_mean
agnews_eff_0.01,BERT-base,0.01,0.773859649122807,0.05111030609118865,0.7735054754894799,0.051952123538591716,5.989160458246867
agnews_eff_0.01,DistilBERT,0.01,0.8598684210526315,0.015717489420521653,0.8591956816419405,0.015532691417989741,4.622457265853882
agnews_eff_0.05,BERT-base,0.05,0.8887280701754386,0.004700764166478211,0.8884353921445376,0.0048267801857095165,8.04543916384379
agnews_eff_0.05,DistilBERT,0.05,0.8899122807017544,0.006128434552529309,0.8898053634601407,0.005756542321088443,7.061441977818807
agnews_eff_0.1,BERT-base,0.1,0.9061403508771931,0.0012981270690305732,0.9060486642870482,0.0013407287641067419,15.889949162801107
agnews_eff_0.1,DistilBERT,0.1,0.8999561403508771,0.003072680682129358,0.899853821594211,0.0029576223449901858,6.136523962020874
agnews_eff_0.25,BERT-base,0.25,0.9164912280701755,0.002687991832639459,0.9163773008727395,0.0029080328080083907,31.98707866668701
agnews_eff_0.25,DistilBERT,0.25,0.9121052631578946,0.003102585821724137,0.9120769914780271,0.0030744280488508237,11.689057429631552
agnews_eff_0.5,BERT-base,0.5,0.9243421052631579,0.0014828194302084683,0.924275254465284,0.0015028633522004918,59.71221764882406
agnews_eff_0.5,DistilBERT,0.5,0.917938596491228,0.004619027050760793,0.9178105106025017,0.004791967480096257,17.797981421152752
agnews_eff_1.0,BERT-base,1.0,0.931140350877193,0.0016346179959284817,0.931138434294659,0.0016346093373870516,113.14618078867595
agnews_eff_1.0,DistilBERT,1.0,0.9278070175438596,0.0010956136839295621,0.927779636774169,0.0011013130202317287,37.78635851542155
imdb_eff_0.01,BERT-base,0.01,0.7309333333333333,0.04833678148619792,0.7307707081708613,0.04828698458210934,14.985667864481607
imdb_eff_0.01,DistilBERT,0.01,0.8200888888888889,0.005164551538380907,0.820004723036953,0.005046400351346278,6.746857802073161
imdb_eff_0.05,BERT-base,0.05,0.8559111111111112,0.002700891485197937,0.8558926861457413,0.002706293351459358,22.954694191614788
imdb_eff_0.05,DistilBERT,0.05,0.8442666666666666,0.0032331615074618998,0.8441567357468983,0.0033868993735570964,8.752645572026571
imdb_eff_0.1,BERT-base,0.1,0.8672444444444446,0.00162936024709543,0.8672250759171192,0.0016106174152109537,33.76602427164713
imdb_eff_0.1,DistilBERT,0.1,0.8556888888888888,0.0029824176124102777,0.8556753924748998,0.0029821542479403647,13.462932427724203
imdb_eff_0.25,BERT-base,0.25,0.8776888888888889,0.0025169058017364783,0.8776820880737413,0.0025166162803965256,51.23430069287618
imdb_eff_0.25,DistilBERT,0.25,0.8684,0.0017333333333333378,0.868393825360157,0.001725297781126903,24.54503059387207
imdb_eff_0.5,BERT-base,0.5,0.8887555555555555,0.0022952446815422923,0.8887330963954004,0.0023193862995265703,118.8638466199239
imdb_eff_0.5,DistilBERT,0.5,0.8765777777777778,0.002607112777966631,0.8765587728740236,0.0026154856501350255,43.38837067286173
imdb_eff_1.0,BERT-base,1.0,0.9006666666666666,0.0017333333333333764,0.9006511727515907,0.001724759338450499,225.855815410614
imdb_eff_1.0,DistilBERT,1.0,0.8871555555555556,0.0022797010850191214,0.8871342008966895,0.002267763865968248,71.47348960240681
