fraction,train_size,seed,best_val_acc,test_acc,test_f1,train_time,inference_time
1.0,18000,42,0.883,0.8932894736842105,0.8928661279120645,1.239246129989624,0.10209894180297852
1.0,18000,123,0.888,0.8875,0.8876506176319914,0.9884850978851318,0.12179207801818848
1.0,18000,456,0.8965,0.8853947368421052,0.8852816935310079,1.1375012397766113,0.10291194915771484
0.5,9000,42,0.886,0.8803947368421052,0.8804583366152623,0.49857306480407715,0.10043764114379883
0.5,9000,123,0.8725,0.8728947368421053,0.8733047714771545,0.4980809688568115,0.09980416297912598
0.5,9000,456,0.876,0.8686842105263158,0.8680622995914193,0.5141229629516602,0.10523319244384766
0.25,4500,42,0.8655,0.8488157894736842,0.8488890944640232,0.5450003147125244,0.10230493545532227
0.25,4500,123,0.8625,0.8569736842105263,0.8567343134404429,1.3643889427185059,0.10586285591125488
0.25,4500,456,0.864,0.8571052631578947,0.856449188639524,1.361166000366211,0.10373520851135254
0.1,1800,42,0.8385,0.8343421052631579,0.8345412168614388,0.3970620632171631,0.10654902458190918
0.1,1800,123,0.8365,0.8346052631578947,0.8349619341078938,0.4992811679840088,0.1096658706665039
0.1,1800,456,0.851,0.8380263157894737,0.8380520287206491,0.5198769569396973,0.10600590705871582
0.05,900,42,0.818,0.8073684210526316,0.8071147857685277,0.3327457904815674,0.10552096366882324
0.05,900,123,0.8225,0.8119736842105263,0.8121834828096444,0.3852972984313965,0.09921002388000488
0.05,900,456,0.8115,0.8025,0.8022404115622034,0.24439501762390137,0.10084295272827148
0.01,180,42,0.6605,0.6485526315789474,0.6481322386344184,0.20612406730651855,0.10485219955444336
0.01,180,123,0.6565,0.6519736842105263,0.6557996786198722,0.19983506202697754,0.10488200187683105
0.01,180,456,0.68,0.6713157894736842,0.6681765349328954,0.1916642189025879,0.11047101020812988
